name,version,platform,vdpx,framework_version,python_version,min_vam_version
cisco.ucs,1.1.4,linux_x86_64,cisco.ucs-1.1.4-linux_x86_64._vdpx,2.7.5,3.9,1.38
cisco.ucs_ssh,1.1.2,win_amd64,cisco.ucs_ssh-1.1.2-win_amd64._vdpx,2.7.5,3.9,1.38
cisco.ucs_ssh,1.1.2,linux_x86_64,cisco.ucs_ssh-1.1.2-linux_x86_64._vdpx,2.7.5,3.9,1.38
citrix.xenserver,1.1.9,linux_x86_64,citrix.xenserver-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
citrix.xenserver,1.1.9,win_amd64,citrix.xenserver-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
coastcom.di_mux,1.1.11,linux_x86_64,coastcom.di_mux-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
coastcom.di_mux,1.1.11,win_amd64,coastcom.di_mux-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
cyberpower.pdu,1.1.5,win_amd64,cyberpower.pdu-1.1.5-win_amd64._vdpx,2.7.5,3.9,1.38
cyberpower.pdu,1.1.5,linux_x86_64,cyberpower.pdu-1.1.5-linux_x86_64._vdpx,2.7.5,3.9,1.38
dcb.ut3302,1.1.10,win_amd64,dcb.ut3302-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
dcb.ut3302,1.1.10,linux_x86_64,dcb.ut3302-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
dell.cmc,1.1.9,win_amd64,dell.cmc-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
dell.cmc,1.1.9,linux_x86_64,dell.cmc-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
dell.datadomain,1.1.10,win_amd64,dell.datadomain-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
dell.datadomain,1.1.10,linux_x86_64,dell.datadomain-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
dell.idrac,1.1.11,linux_x86_64,dell.idrac-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
dell.idrac,1.1.11,win_amd64,dell.idrac-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
dell.os10,1.1.12,linux_x86_64,dell.os10-1.1.12-linux_x86_64._vdpx,2.7.5,3.9,1.38
dell.os10,1.1.12,win_amd64,dell.os10-1.1.12-win_amd64._vdpx,2.7.5,3.9,1.38
dell.sonicwall,1.1.9,linux_x86_64,dell.sonicwall-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
dell.sonicwall,1.1.9,win_amd64,dell.sonicwall-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
dell.switch,1.1.9,win_amd64,dell.switch-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
dell.switch,1.1.9,linux_x86_64,dell.switch-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
dell.wyse,1.1.9,linux_x86_64,dell.wyse-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
dell.wyse,1.1.9,win_amd64,dell.wyse-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
dent_instruments.powerscout,1.1.4,win_amd64,dent_instruments.powerscout-1.1.4-win_amd64._vdpx,2.7.5,3.9,1.38
dent_instruments.powerscout,1.1.4,linux_x86_64,dent_instruments.powerscout-1.1.4-linux_x86_64._vdpx,2.7.5,3.9,1.38
digi.connectcore,1.1.3,linux_x86_64,digi.connectcore-1.1.3-linux_x86_64._vdpx,2.7.5,3.9,1.38
digi.connectcore,1.1.3,win_amd64,digi.connectcore-1.1.3-win_amd64._vdpx,2.7.5,3.9,1.38
digi.portserver,1.1.11,linux_x86_64,digi.portserver-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
digi.portserver,1.1.11,win_amd64,digi.portserver-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
digi.xbee,1.1.15,linux_x86_64,digi.xbee-1.1.15-linux_x86_64._vdpx,2.7.5,3.9,1.38
digi.xbee,1.1.15,win_amd64,digi.xbee-1.1.15-win_amd64._vdpx,2.7.5,3.9,1.38
