DriverName,Hostname,MACAddressVendor,TCPListeningPorts
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Red Lion Controls Inc""]",
"""ethernetip""",,"[""Caterpillar, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Schneider Electric Japan Holdings Ltd""]",
"""snmp.generic""","""sw-pcn-scecilia-0929-mcc1-02.ot.tourmalineoil.com""","[""Cisco Systems, Inc""]",[44818]
,,"[""Advantech Technology (CHINA) Co., Ltd""]",
,,"[""VMware, Inc""]",
"""emerson.fb3000""",,"[""Bristol Babcock, Inc""]",
"""ethernetip""",,"[""Vacon Plc""]",
"""onvif.generic""","""Hikvision""","[""Hangzhou Hikvision Digital Technology Co., Ltd""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""VMware, Inc""]","[22, 53, 2377, 7946, 8339]"
"""palo_alto_networks.panos""","""fw-pcn-obed-0121-admin-01""","[""Palo Alto Networks""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""cisco.ios""","""sw-pcn-ansell-0134-mcc1-01""","[""Cisco Systems, Inc""]","[22, 443]"
"""ethernetip""",,"[""Schneider Electric Japan Holdings Ltd""]",
"""onvif.generic""","""Hikvision""",,
,"""idrac-HSGVQN3""","[""Dell Inc""]",
,,"[""VMware, Inc""]","[80, 135, 139, 403, 443, 445, 1332, 3060, 3387, 3389, 4255, 5241, 5504, 5985, 6543, 8082, 9111, 12315, 22350, 22352, 27000, 30064, 47001, 49656, 49664, 49665, 49681, 54967, 57148, 57149, 57150, 57152, 57153, 61860, 61863, 62612]"
"""snmp.generic""","""sw-pcn-nigcr-c46c-gn304-01""","[""Cisco Systems, Inc""]","[22, 80, 443]"
,,"[""Caterpillar, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""VMware, Inc""]","[80, 135, 139, 403, 443, 445, 1332, 2221, 2222, 3060, 3389, 4241, 4244, 4245, 4255, 5241, 5670, 5698, 5699, 5985, 6543, 7111, 7147, 7153, 9111, 10011, 10086, 12315, 22350, 22352, 27000, 30064, 44818, 47001, 49664, 49665, 49666, 57002, 57005, 57006, 57029, 57035, 57065, 57099, 57122, 57196]"
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Red Lion Controls Inc""]",
